overview:
S_D_p:79.164
S_D_r:65.827
S_D_f1:71.882
S_C_p:70.548
S_C_r:58.663
S_C_f1:64.059
C_D_p:82.999
C_D_r:67.009
C_D_f1:74.152
C_C_p:73.591
C_C_r:59.415
C_C_f1:65.748

bad cases:
原始: 夜幕降临，海港城Chanel专卖店排著长队，游客路过，下班的人行色匆匆，茶餐厅的厨师忙里偷闲就这一杯柠檬可乐吃着炒面，斑马线两边的路灯愈响愈急，富豪雪糕车放着缓慢不变的旋律
正确: 夜幕降临，海港城Chanel专卖店排着长队，游客路过，下班的人行色匆匆，茶餐厅的厨师忙里偷闲就【着】一杯柠檬可乐吃着炒面，斑马线两边的路灯愈响愈急，富豪雪糕车放着缓慢不变的旋律
预测: 夜幕降临，海港城Chanel专卖店排着长队，游客路过，下班的人行色匆匆，茶餐厅的厨师忙里偷闲就【这】一杯柠檬可乐吃着炒面，斑马线两边的路灯愈响愈急，富豪雪糕车放着缓慢不变的旋律
错误类型: 综合

原始: 她说，起初40天“对我还马马虎虎，而后就开始欺负我……他们(劫匪)自己的生活条件就很差，而我过得比他们还次……”为了逃走，她冒了很大的险，甚至不得不穿越雷区
正确: 她说，起初40天“对我还马马虎虎，而后就开始欺负我……他们(劫匪)自己的生活条件就很差，而我过得比他们还【次】……”为了逃走，她冒了很大的险，甚至不得不穿越雷区
预测: 她说，起初40天“对我还马马虎虎，而后就开始欺负我……他们(劫匪)自己的生活条件就很差，而我过得比他们还【差】……”为了逃走，她冒了很大的险，甚至不得不穿越雷区
错误类型: 过纠

原始: 这座位于南四教学楼西北角的竹房建造面积60平方米，设有客厅、书房、露台、庭院灯，全部由环保绿色新材料胶合竹制作，总费用10余万元，可使用50年
正确: 这座位于南四教学楼西北角的竹房建造面积60平方米，设有客厅、书房、露台、庭院【等】，全部由环保绿色新材料胶合竹制作，总费用10余万元，可使用50年
预测: 这座位于南四教学楼西北角的竹房建造面积60平方米，设有客厅、书房、露台、庭院【灯】，全部由环保绿色新材料胶合竹制作，总费用10余万元，可使用50年
错误类型: 漏纠

